"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Categories split flaky, test and product failures so each bucket has an owner.","2","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"Environment metadata answers which browser, base URL and build produced the report.","2","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","environmentTemplateCarriesRunContext"
"Orders marked as shipped should contain a carrier reference.
Missing carrier information indicates a product defect.
","7","shippedOrderMustContainCarrierReference()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","shippedOrderMustContainCarrierReference"
"The user interface refreshed while the automation framework was
interacting with a previously located element. This represents
a transient automation instability.
","31","dynamicPageRefreshCanTriggerStaleElementFailure()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","dynamicPageRefreshCanTriggerStaleElementFailure"
"Products visible in the catalog must expose pricing information.
Missing pricing prevents purchasing decisions.
","7","catalogProductMustExposePrice()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","catalogProductMustExposePrice"
"Audit retention enforcement is temporarily disabled as part of a
documented business decision. The associated risk has been accepted.
","1","auditRetentionIsTemporarilyDisabled()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","auditRetentionIsTemporarilyDisabled"
"","1","allureCategoriesFileExists()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","allureCategoriesFileExists"
"","8","executiveDashboardShowsStatus()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveDashboardShowsStatus"
"Historical analytics validation requires an external warehouse
environment and is intentionally skipped in the standard CI
execution path.
","0","historicalAnalyticsValidationRequiresDedicatedEnvironment()","","2026-07-10","skipped","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","historicalAnalyticsValidationRequiresDedicatedEnvironment"
"Historic orders migrated from legacy systems may exhibit tax calculation
differences. The product team has already acknowledged this issue.
","6","historicTaxCalculationMismatch()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","historicTaxCalculationMismatch"
"Administrative actions require elevated privileges.
Executing an administrative workflow as a standard user indicates a product defect.
","1","adminWorkflowShouldRequireAdminRole()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","adminWorkflowShouldRequireAdminRole"
"","2","knownIssueCategoryIsDefined()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","knownIssueCategoryIsDefined"
"","1","testDefectCategoryIsDefined()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","testDefectCategoryIsDefined"
"The reporting test suite must declare ownership metadata.","2","ownerMetadataIsPresent()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","ownerMetadataIsPresent"
"","3","osMetadataExists()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","osMetadataExists"
"","0","leadershipDashboardRequiresEnvironmentData()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","leadershipDashboardRequiresEnvironmentData"
"The leadership view is the Overview page once categories, history, severity and environment exist.","3","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveViewNeedsFourSignals"
"","2","buildMetadataExists()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","buildMetadataExists"
"","17","productDefectCategoryIsDefined()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","productDefectCategoryIsDefined"
"","0","executiveDashboardShowsCategorySplit()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveDashboardShowsCategorySplit"
"","1","flakyRegexContainsTimeout()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","flakyRegexContainsTimeout"
"External service latency exceeded the agreed response threshold.
The failure should be classified as a flaky infrastructure issue
rather than a product defect.
","4","reportingServiceTimeoutShouldBeClassifiedAsFlaky()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","reportingServiceTimeoutShouldBeClassifiedAsFlaky"
"","3","severityMetadataIsPresent()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","severityMetadataIsPresent"
"","3","baseUrlMetadataExists()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","baseUrlMetadataExists"
"","1","leadershipDashboardRequiresTrendData()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","leadershipDashboardRequiresTrendData"
"","1","flakyRegexContainsStaleElement()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","flakyRegexContainsStaleElement"
"","1","executiveDashboardShowsEnvironment()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveDashboardShowsEnvironment"
"","1","allureEnvironmentFileExists()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","allureEnvironmentFileExists"
"","1","flakyCategoryIsDefined()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","flakyCategoryIsDefined"
