"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","baseUrlMetadataExists()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","baseUrlMetadataExists"
"","2","leadershipDashboardRequiresEnvironmentData()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","leadershipDashboardRequiresEnvironmentData"
"The leadership view is the Overview page once categories, history, severity and environment exist.","3","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveViewNeedsFourSignals"
"","3","testDefectCategoryIsDefined()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","testDefectCategoryIsDefined"
"Environment metadata answers which browser, base URL and build produced the report.","2","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","environmentTemplateCarriesRunContext"
"Available inventory should never be negative.
A negative inventory level indicates corrupted business data.
","6","inventoryShouldNeverBeNegative()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","inventoryShouldNeverBeNegative"
"Orders marked as shipped should contain a carrier reference.
Missing carrier information indicates a product defect.
","10","shippedOrderMustContainCarrierReference()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","shippedOrderMustContainCarrierReference"
"External service latency exceeded the agreed response threshold.
The failure should be classified as a flaky infrastructure issue
rather than a product defect.
","3","reportingServiceTimeoutShouldBeClassifiedAsFlaky()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","reportingServiceTimeoutShouldBeClassifiedAsFlaky"
"Products visible in the catalog must expose pricing information.
Missing pricing prevents purchasing decisions.
","3","catalogProductMustExposePrice()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","catalogProductMustExposePrice"
"A downstream dependency unexpectedly terminated the active network
session. This type of infrastructure interruption should be
classified as a flaky execution issue.
","3","downstreamGatewayConnectionResetShouldBeFlaky()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","downstreamGatewayConnectionResetShouldBeFlaky"
