"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Framework Hardening","0","Reporting Insights","3","0","Environment metadata","0"
"0","Framework Hardening","0","Reporting Insights","2","0","Executive overview","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Executive overview with more assertions","0"
"0","Framework Hardening","0","Reporting Insights","4","0","Categories","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Inventory validation","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Order lifecycle validation","0"
"1","Framework Hardening","0","Reporting Insights","0","0","Timeout instability","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Catalog validation","0"
"1","Framework Hardening","0","Reporting Insights","0","0","Connection reset instability","0"
"1","Framework Hardening","0","Reporting Insights","0","0","Stale element instability","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Authentication validation","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Checkout validation","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Customer profile validation","0"
"0","Framework Hardening","0","Reporting Insights","0","1","Conditional execution","0"
