"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"External service latency exceeded the agreed response threshold.
The failure should be classified as a flaky infrastructure issue
rather than a product defect.
","4","reportingServiceTimeoutShouldBeClassifiedAsFlaky()","","2026-07-11","broken","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","reportingServiceTimeoutShouldBeClassifiedAsFlaky"
"Categories split flaky, test and product failures so each bucket has an owner.","1","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"","1","executiveDashboardShowsTrend()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveDashboardShowsTrend"
"Orders marked as shipped should contain a carrier reference.
Missing carrier information indicates a product defect.
","4","shippedOrderMustContainCarrierReference()","","2026-07-11","failed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","shippedOrderMustContainCarrierReference"
"","26","productDefectCategoryIsDefined()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","productDefectCategoryIsDefined"
"The reporting test suite must declare ownership metadata.","1","ownerMetadataIsPresent()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","ownerMetadataIsPresent"
"","1","leadershipDashboardRequiresEnvironmentData()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","leadershipDashboardRequiresEnvironmentData"
"","0","executiveDashboardShowsCategorySplit()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveDashboardShowsCategorySplit"
"","2","executiveDashboardShowsEnvironment()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveDashboardShowsEnvironment"
"","1","flakyRegexContainsStaleElement()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","flakyRegexContainsStaleElement"
"Legacy pricing calculations are known to produce occasional rounding
differences. The issue is documented and awaiting remediation.
","2","legacyPricingEngineRoundingIssue()","","2026-07-11","failed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","legacyPricingEngineRoundingIssue"
"Environment metadata answers which browser, base URL and build produced the report.","1","environmentTemplateCarriesRunContext()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","environmentTemplateCarriesRunContext"
"Orders reaching the COMPLETED state must expose a shipment tracking
reference. Missing tracking data indicates a product defect.
","8","completedOrderMustExposeTrackingReference()","","2026-07-11","failed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","completedOrderMustExposeTrackingReference"
"","6","flakyRegexContainsConnectionReset()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","flakyRegexContainsConnectionReset"
"","1","flakyRegexContainsTimeout()","","2026-07-11","passed","2026-07-11","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","flakyRegexContainsTimeout"
